,Symbol,Element,ChemicalNature,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Radioactive,Natural,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes,Discoverer,Year,SpecificHeat,NumberofShells,NumberofValence,Price_USD/kg,ReferencePrice
2,Li,Lithium,Metal,6.941,4.0,3.0,3.0,2.0,1.0,solid,undefined,yes,Alkali Metal,2.1,0.98,5.3917,0.534,453.85,1615.0,5.0,Arfvedson,1817.0,3.582,2.0,1.0,115.7,"800,000.00, CNY per metric ton"
3,Be,Beryllium,Metal,9.012,5.0,4.0,4.0,2.0,2.0,solid,undefined,yes,Alkaline Earth Metal,1.4,1.57,9.3227,1.85,1560.15,2742.0,6.0,Vaulquelin,1798.0,1.825,2.0,2.0,831.6,"5,750.00, CNY per kilogram"
10,Na,Sodium,Metal,22.99,12.0,11.0,11.0,3.0,1.0,solid,undefined,yes,Alkali Metal,2.2,0.93,5.1391,0.971,371.15,1156.0,7.0,Davy,1807.0,1.228,3.0,1.0,3.04,"21,000.00, CNY per metric ton"
11,Mg,Magnesium,Metal,24.305,12.0,12.0,12.0,3.0,2.0,solid,undefined,yes,Alkaline Earth Metal,1.7,1.31,7.6462,1.74,923.15,1363.0,8.0,Black,1755.0,1.023,3.0,2.0,2.26,"2.26, USD per kilogram"
18,K,Potassium,Metal,39.098,20.0,19.0,19.0,4.0,1.0,solid,undefined,yes,Alkali Metal,2.8,0.82,4.3407,0.862,336.5,1032.0,10.0,Davy,1807.0,0.757,4.0,1.0,13.02,"90,000.00, CNY per metric ton"
19,Ca,Calcium,Metal,40.078,20.0,20.0,20.0,4.0,2.0,solid,undefined,yes,Alkaline Earth Metal,2.2,1.0,6.1132,1.54,1112.15,1757.0,14.0,Davy,1808.0,0.647,4.0,2.0,5.93,"41,000.00, CNY per metric ton"
20,Sc,Scandium,Metal,44.956,24.0,21.0,21.0,4.0,3.0,solid,undefined,yes,Transition Metal,2.1,1.36,6.5615,2.99,1812.15,3109.0,15.0,Nilson,1878.0,0.568,4.0,0.0,15000.0,"15,000.00, USD per kilogram"
21,Ti,Titanium,Metal,47.867,26.0,22.0,22.0,4.0,4.0,solid,undefined,yes,Transition Metal,2.0,1.54,6.8281,4.54,1933.15,3560.0,9.0,Gregor,1791.0,0.523,4.0,0.0,3.77,"3.77, USD per kilogram"
22,V,Vanadium,Metal,50.942,28.0,23.0,23.0,4.0,5.0,solid,undefined,yes,Transition Metal,1.9,1.63,6.7462,6.11,2175.15,3680.0,9.0,   del Rio,1801.0,0.489,4.0,0.0,22.6,"22.60, USD per kilogram"
23,Cr,Chromium,Metal,51.996,28.0,24.0,24.0,4.0,6.0,solid,undefined,yes,Transition Metal,1.9,1.66,6.7665,7.15,2130.15,2944.0,9.0,Vauquelin,1797.0,0.449,4.0,0.0,7.64,"7,641.67, USD per metric ton"
